Fungus,?,Error'artist-relation-list'
Ginger Ninja,?,Error'artist-relation-list'
Gintronix,?,Error'artist-relation-list'
Hunters,?,Error'artist-relation-list'
Jungle,?,Error'artist-relation-list'
Leaf,?,Error'artist-relation-list'
Lf System,?,Error'artist-relation-list'
Loupe,?,Error'artist-relation-list'
"Maryn Charlie, Melle",?,Error'artist-relation-list'
"Mcr-T, Joost",?,Error'artist-relation-list'
Oliver Pesch,?,Error'artist-relation-list'
Oos Joos,?,Error'artist-relation-list'
Partyfriex,?,Error'artist-relation-list'
Selvera's,?,Error'artist-relation-list'
Soul Sister,?,Error'artist-relation-list'
The Babysitters Circus,?,Error'artist-relation-list'
The Bleachers,?,Error'artist-relation-list'
The Tibbs,?,Error'artist-relation-list'
The Wiz Stars,?,Error'artist-relation-list'
Wesly Bronkhorst & Bizzey,?,Featuring
Wet Leg,Man,Group
Wild Cherry,Man,Group
Will Tura,Man,Person
Willem,Man,Person
Willy William,Man,Person
Wilson Phillips,Vrouw,Group
Yardbirds,Man,Group
Years & Years,?,Featuring
Youssou N'Dour & Neneh Cherry,?,Featuring
Zen Link,Man,Person
Zerb Ft. Sofiya Nzau,?,Featuring
Zombie Nation,Man,Group
ZZ & de Maskers,?,Featuring
Armin Van Buuren Ft. Josh Cumbee,?,Featuring
Armin Van Buuren & Davina Michelle,?,Featuring
Godley & Creme,?,Featuring
Tony Scott en Ben Liebrand,Man,Person
Tower Of Power,Man,Group
The 5th Dimension,Man,Group
Tony Toni Tone,Man,Group
Naughty By Nature,Man,Group
Randy Crawford,Vrouw,Person
J. Blackfoot,Man,Person
Ready For The World,Man,Group
Poco,Man,Group
Multibeat ft. Joya Mooi,?,Featuring
Charlie Rich,Man,Person
Imagination,Man,Group
Umberto Tozzi,Man,Person
Janieck,Man,Person
Gary's Gang,Man,Group
RANI,Vrouw,Person
Jacques Dutronc,Man,Person
Ian Dury & The Blockheads,?,Featuring
The Dave Clark Five,Man,Group
Styx,Man,Group
Caravan Palace,Man,Group
