Artiest
Kula Shaker
Roek's Family
Earth  Wind & Fire Vs. Phats & Small
Swinging Soul Machine
Guru Josh
Rollergirl
East 17
Jon Gibson
In�z/Peter Fox
Baseballs
Dominica
Mariah Carey & Boyz Ii Men
Chr. Mannenkoor Assen olv. Johan Rodenhuis
Sela & Kinga Ban
Simpleton
Pokey LaFarge
Milhanas
Peer
Unknown Mortal Orchestra
Heather Nova
Melanie & The Edwin Hawkins Singers
The Last Shadow Puppets
David Rooker
Anneke Gronloh
Patric Pleasure & Maxim Essindi
The Rivingtons
Carlos Jean
Ike Turner
Jon Muq
Salvador Sobral
Thomas Headon
Sam Williams
Mike Williams
MRCY
Harry Belafonte
Aaron Neville
Old Crow Medicine Show
Jasperina de Jong & Maria Linde
Leen Jongewaard & Hetty Blok
Dry Cleaning
Curtis Lee
Pokey Lafarge
Art Neville
Faye Webster
Big Joe Turner
Elle King
The Viscounts
Betty James
Larkin Poe
Bleachers
Sonny Boy Williamson
Mrcy
Ronnie Hawkins
Gogi Grant
A$AP Rocky
JD McPherson
Nick Waterhouse
Anneke Gronloh
Conny Stuart
Cliff Richard & The Shadows
P!Nk & Nate Ruess
Dj Snake Ft. Justin Bieber
Grass Roots
Otto Knows
Kyu Sakamoto
Ricky Valence
John Lamers
Roek's Family
Marky Mark & The Funky Bunch
Swinging Soul Machine
Dean Martin
Eddie Hodges
Fat Matress
Blue Cheer
Rudi Carrell
Pinkerton's Assorted Colours
Dale & Grace
Bob Crewe Generation
Gotye
Velvelettes
Bobbie Gentry
Bob Lind
The Capitols
Frans Krassenburg
Delerium ft. Sarah McLachlan
Ronnie & De Ronnies
Spanky & Our Gang
Fairport Convention
Burna Boy
George Cash
Saco
Freddie & The Dreamers
Traffic
Hollywood Argyles
Tams
Gal Costa
Linda, Roos & Jessica
Karin Kent
Eddie Holman
Adèle Bloemendaal, Leen Jongewaard, Piet Romer
The Spiral Starecase
Warren G. & Nate Dog
Dj Jazzy Jeff & Fresh Prince
Pato Banton & Ub 40
Willy Alberti
Velvelettes
Cliff Nobels & Co
Ice Mc
Ini Kamoze
Imaani
Nelly & Kelly Rowland
Elvis Vs Jxl
Randy & The Rainbows
Take That Ft. Lulu
Linda, Roos & Jessica
Flo Rida
Jeckyll & Hyde
Desmond Dekker
Deep Dish
Maurice Williams
Bone Thugs N Harmony
Billy Crawford
Bob Crewe Generation
Candyman
Les Baroques
Playahitty
Marshmello & Farruko
Mistral
Cj Lewis
Herb Alpert & Janet Jackson
Khaled
John Lamers
Lou Rawls & Diana Reeves
Coolio Featuring 40 Thevz
Gary Moore & Albert King
Leen Jongewaard & Hetty Blok
Freddie Mercury & Montserrat Caballe
Marvelettes
Dana International
Basement Jaxx
Nalin & Kane

Maria Mckee
Nikki
Udo Jürgens
Bastian
Han Van Eijk
Sharon Brown
Frank 'O Moiraghi
Steps
Dj Bobo
Tomcraft
Eddie Hodges
Marvin Gaye & Tammi Terrel
Deep Zone
Lady Gaga, Colby O'Donis
Edwin Star
Blind Faith
Betty Boo
Dj Jose Vs G-Spot
Highwaymen
Laura Nyro
Nita Rossi
Nick Cave And The Bad Seeds
Mike Williams
Steam
KESHA
Madison Beer
Shane Codd
Tony Esposito
DJ Snake ft. Justin Bieber
Jeff Buckley
Jean Ferrat
Duane Eddy
Ariana Grande & Mariah Carey
Astrud Gilberto
10_Cc
Philip Bailey
Happenings
Harry Belafonte
BLØF & Counting Crows
Rob Hoeke
Il Divo
? & The Mysterians
Wildstylez & Niels Geusebroek
Skeeter Davis
Sam Feldt Vs. Lucas & Steve
The Shangri-Las
David Rooker
Jefferson
Sash
Marmalade
Betty Everett
Ramses Shaffy & Liesbeth List
Desmond Dekker
Nelly & Kelly Rowland
Silkie
Massiel
The Smashing Pumpkins
Vikki Carr
Web
John Lennon & Plastic Ono Band
Marbles
Sir Douglas Quintet
Barbara Pravi
Vanity Fare
1910 Fruitgum Company
B B King
Syndicate of Sound
Arctic Monkees
Allisons
Twice As Much
Vogues
Saco
Phantoms
Jackie Trent
Creation
Nancy Wilson
Johnny Otis
The Pretty Things
Ray Barretto
Jade
Leen Jongewaard & Hetty Blok
Anneke Grönloh
Prince & The Npg
Harmony Grass
Swv
Bert Kaempfert & His Orchestra
Dna Feat. Suzanne Vega
Blue Diamonds
East 17
The Blueboy
The Call
Marky Mark & The Funky Bunch
Conkarah & Shaggy
Anders Nilsen
Lonnie Gordon
Emilia
Nomads
Robin S.
Martha & The Muffins
Aswad
Raconteurs
Tony Christie
Undercover
Warhaus
Friends Of Distinction
Tina Cousins
Close Ii You
Rob 'N' Raz & Leila K.
Is Ook Schitterend!
Beenie Man & Chevelle Franklin
Alexia
Underworld
Jimmy Cliff & Lebo M
Carlo & Irene
Sweet Inspirations
Jr Walker & The All- Stars
Delfonics
Chef
Roger Daltrey
P. J. Proby
Staygold
Jefferson
B B King
Ad Libs
Swinging Soul Machine
Madison Beer
Shirley Ellis
Frank Cunnimondo Trio
Hooverphonic
Good Charlotte
Karin Kent
Renee Rapp & Megan Thee Stallion
Keith
Bobby Hebb
Yves Montand
The Capitols
Mau P
Moon Martin
Johnny Gill
The Neighbourhood
Royal Blood
Lee Hazlewood
Eddie Holman
Carla Thomas
Sammie Sedano
Het
Lucas & Steve, Marf
Blind Faith
David Guetta, Becky Hill & Ella Henderson
P.J. Proby
Maurice Williams
Jackson Browne
Gary Lewis & The Playboys
Steam
Laura Nyro
Les Baroques
Cliff Nobels & Co
Cowsills
Saco
Ray Peterson
The Black And White Brothers
André van den Heuvel & Leen Jongewaard
Kevin Lyttle
Bobby Hebb
Keith
Ramses Shaffy & Liesbeth List
Hombres
The Shamrocks
Johnny & Rijk
Matt Monro
Dells
Bobbie Gentry
Bob Lind
Het
Rob Hoeke Rhythm
Barrett Strong
Keith Sweat
Lace
Beverly Craven
The K.L.F. & Tammy Wynette
Bobby Hebb
Rob 'N' Raz
Johnny & Rijk
Carla Thomas
Marbles
Loona
Lorne Greene
René Klijn
Felix
Jefferson
Het
Dean Martin
Dr. Dre
K-Ci & Jojo
The Sunclub
Jean Claude Ades & Vincent Thomas
Jeremy Jackson
Kinderen Voor Kinderen
Marmalade
Chaka Demus & Pliers
Roger Miller
Archie Bell & The Drells
Lick & Kentucky Martha
Kyu Sakamoto
Starmaker
Stephen Stills
Army Of Lovers
R Kelly
Alex Party
Daniel Bedingfield
Jet Harris & Tony Meehan
Miranda
Nas
Babyface & Stevie Wonder
3T
Shuffles
Karol G & Tiesto
Notorious BIG ft. Puff Daddy & Ma$e
David Guetta, Kim Petras
Charly Lownoise Mental Theo
Coldplay, BTS
Gabber Piet
Southside Spinners
Association
Jose Gonzalez
Calvin Harris & Rag N Bone Man
Spanky & Our Gang
Limahl
The Vices
Nerd
Evelyn Champagne King
The Weeknd Ft. Madonna & Playboi Carti
Mason Williams
Armin Van Buuren & Matoma Ft. Teddy Swims
Karol G & Tiesto
Todd Terje
Michel Teló
Dimitri Vegas & Like Mike & Tiësto & Dido & W&W
Emmylou Harris Ft. Gram Parsons
Terry Stafford
Fly Me To The Moon
Toots Thielemans
Therapy
Foundations
Patsy Cline
Nick Cave & The Bad Seeds
Opgezwolle Ft. Jawat
Mark & Clark Band
Sandy Posey
Cat Stevens, Ronan Keating
Ginger Ale
Tim Deluxe Feat Sam Obernik
Alison Jutta
Bert Kaempfert & His Orchestra
Freddie & The Dreamers
Friends Of Distinction
Swinging Soul Machine
Blue Diamonds
Blow Monkeys
Lorne Greene
Underworld
Astrud Gilberto
Shirley Ellis
Strawberry Alarm Clock
Ad Libs
Lace
Marvelettes
Yves Montand
Martin Solveig
Platters
98° And Stevie Wonder
Jr Walker & The All- Stars
Dimitri Vegas & Like Mike & Tiësto & Dido & W&W
Frankie Laine
Paul Revere & The Raiders
Vic Dana
The Hep Stars
Twice As Much
Robbe Williams
? & The Mysterians
Elvis Presly
Eddie Hodges
Betty Everett
The Jacksons_
Linda, Roos & Jessica
Mason Williams
Cliff Richard & Young Ones
Zucchero & Paul Young
Gary Lewis & The Playboys
Dj Bobo
The Outhere Brothers
1910 Fruitgum Company
Sita
Limeliters
Big Brovaz
Gary Pucket & The Union Gap
R.O.O.S.
Lonnie Gordon
Michael Gray
Az Yet
Double Trouble & Rebel Mc
Pulp
Energy 52
Linda, Roos & Jessica
Clarence 'Frogman' Henry
Carlos
Jet Harris & Tony Meehan
Bob Marley Vs. Funkstar Deluxe
B.B.E.
Dean Martin
Jethro Tull
The Radios
Da Hool
Dimitri Vegas & Like Mike & Tiësto & Dido & W&W
Meduza Ft. Goodboys
Freddie & The Dreamers
Karol G
Queen, David Bowie
Dimitri Vegas & Like Mike, Tiesto, Dido
Milly Scott
Eva Simons
Al Caiola
Co Hagendoorn
Crosby, Stills & Nash
Jay And The Techniques
The Clungels
The Tremeloes
Patsy Cline
Paul Johnson
Cannons
Sweetbox
Cowsills
Black Slate
Gary Lewis & The Playboys
L T D
Calvin Harris & Rag N Bone Man
Delegation
Ella Henderson & Rudimental
D.O.D.
Jr Walker & The All- Stars
Baltimora
Joop Doderer & Damrakkertjes
Dobie Gray
Karol G
Jeff Buckley
Rascals
Marbles
Willow
Flemming & Zoë Tauran & Ronnie Flex
Rob Hoeke Rhythm
Zeevlinder
Tommy James & The Shondells
Floor Jansen & Henk Poort
Jefferson
Jean Michel Jarre
Major Lazer Ft. Dj Snake
The Pretty Things
Impressions
David & Jonathan
Spirit
Udo Jürgens
Roger Miller
love
Kris Kristofferson
Barrett Strong
The Gathering
Happenings
Dave Brubeck Quartet
Harmony Grass
Mr. Belt & Wezol
Conan Gray
Elgins
Bonnie St Claire
Jackie Trent
Eddie Hodges
Frank Ifield
Dean Martin
Ozzy Osbourne
The Spiral Starecase
Connie Francis
Edwin Star
Marlon Hoffstadt
Aaron Neville
Barry Mann
Dimitri Vegas & Like Mike & Tiësto & Dido & W&W
Harper's Bizarre
Hedgehoppers Anonymous
Johnny Burnette
Conny Froboess
Meduza & Goodboys
Udo Jürgens
Linda Roos En Jessica
The Blue Diamonds
Kane Gang
Alexander O'Neal & Cherrele
Kris Kross Amsterdam & Donnie & Tino Martin
The Paper Kites
Mario
Marco Borsato & T. Oosterhuis
Flemming & Zoë Tauran & Ronnie Flex
Freddie Mercury &  Montserrat Caballé
Kenny B.
Calvin Harris/Ellie Goulding
Blue Diamonds
Underworld
Dimitri Vegas & Like Mike & Tiësto & Dido & W&W
Ella Henderson Feat. Rudimental
Flemming & Zoë Tauran & Ronnie Flex
Wolter Kroes
Girls Aloud
Calvin Harris X Rag'N'Bone Man
Riton & Nightcrawlers & Mufasa & Hypeman
Riton X Nightcrawlers
Archie Bell & The Drells
Tapps
Tornados
Aaron Neville
Jimmy Jones
Barry Mc Guire
Dimitri Vegas & Like Mike & Tiësto & Dido & W&W
T4Fun & M-Violet
Rein De Vries
Anneke Gronloh
Two Unlimited
Gregory Abbot
Swinging Soul Machine
Roger Miller
The Night People
Prins S. En De Geit
Vogues
Radi Ensemble
Opgezwolle
Ken Dodd
Brothers Four
Tony Scott
Matt Monro
Kurt Vile
Planet Funk
Postal Service
Central Line
Bobbie Gentry
Ramses Shaffy & Liesbeth List
PJ Proby
Babysitters Circus
Flemming & Zoë Tauran & Ronnie Flex
Fever Ray
Basement Jaxx
Nourished By Time
Fontaines Dc
Paul de Leeuw & André Hazes
Brian Eno
Brian Eno & Fred Again..
Sad Night Dynamite
Ennio Morricone
Calvin Harris & Rag N Bone Man
Swedish House Maffia ft. The Weeknd
Karin Bloemen
DJ Tiësto
Jay Z & Kanye West
Maria Mckee
Calvin Harris X Rag'N'Bone Man
Clarence 'Frogman' Henry
Mr. Belt & Wezol
Flemming & Zoë Tauran & Ronnie Flex
Dimitri Vegas & Like Mike & Tiësto & Dido & W&W
Bush
Special Aka
The Judds
Herd
Calvin Harris X Rag'N'Bone Man
Henk Elsink
Da Hool
Tina Turner & Robert Cray
Loona
Olive
Paul Gerlinger
Brendan Croker & Eric Clapton
The Dead South
Flemming & Zoë Tauran & Ronnie Flex
Linda Roos En Jessica
Dimitri Vegas & Like Mike & Tiësto & Dido & W&W
Squeeze
Mystic
Marco Borsato & T. Oosterhuis
Army Of Lovers
Sick Puppies
Won Ton Ton
The Dandy Warhols
Dimitri Vegas & Like Mike & Tiësto & Dido & W&W
Alexander O'neal & Cherrelle
Bourgeois Tagg
Mrs. Green Apple
Flemming & Zoë Tauran & Ronnie Flex
Dj Jazzy Jeff & Fresh Prince
Michelle David & The True Tones
The B. B, & Q. Band
Wildstylez & Niels Geusebroek
Eline
Army Of Lovers
Selecter
Deep Zone
Adrian Snell
'Hollandkoor' olv. Jan Quintus Zwart.
Kleeer
Stacy Lattisaw
Jo. Koor Laudate Deum Apeldoorn
Kim Petras
Mac Miller ft. Anderson .Paak
Angela Bofill
Waddinxveens mk en Lucas Kramer
The Choir of King's College, Cambridge
BODYROX
Freddie Jackson
Rob de Nijs & Martine
J-KWON
Ollie & Jerry
Jordy, Sander & Yuki
Stuart
Salute
Joel Corry X Mnek
Diana Ross & The Supremes
S-Express
Mantronix
Joost Swinkels
Harold Melvin
Jamestown & Jocelyn Brown
Rudi Carrell
Bb & Q Band
Rob 'N Raz
Johnny Gill
Lynn Collins
Donell Jones
Michelle David & The True Tones
Brand New Heavies
Sugar Hill Gang
Bakermat ft. Albert Gold
Otis Clay
Propellerheads ft. Shirley Bassey
Stephen Stills
The Ritchie Family
Anderson .Paak
Giovanca
Gil Scott-Heron
Meters
Amos Lee
Roy Ayers
Sutherland Brothers And Quiver
Margo Thunder
Flirtations
SWV
Players Association
Horace Silver
Saint Motel
Patti Austin & James Ingram
Stargard
Lorren
A Taste Of Honey
Lenny Williams
Frank Ocean
Joe Torres
The Manhattan Transfer
B B & Q Band
Mr. Belt & Wezol
Liquid Spirits
Arne Jansen
Dream Warriors
Nelly & Kelly Rowland
Benny Latimore
Frantique
Patrick Cowley ft. Sylvester
Calvin Harris X Rag'N'Bone Man
Andrea Bocelli & Gerardina Trovato
Missy Elliott
Mario
Evelyn Champagne King
Oran 'Juice' Jones
Sheila
Classics
Postmen
Shuggie Otis
Undisputed Truth
Johnnie Taylor
Brian Doerksen
Jamestown ft. Jocelyn Brown
Archie Bell & The Drells
Room Eleven
Flemming & Zoë Tauran & Ronnie Flex
Paul De Leeuw & Simone Kleinsma
Opwekking
Opwekking
Phil Lynott
Gerard van Maasakkers
Dafné Kritharas
Ana Moura
Harry Sacksioni
Modo
Lord Kitchener
Esther van Hees
Amira & Bojan Z.
Mudcrutch
Sarah Jarosz
Dr. John
Mary Mary
Maite Hontelé & Ten Sharp
Blue Grass Boogiemen & Dave von Raven
Calvin Harris X Rag'N'Bone Man
MORCHEEBA
Will & The People
Cj Lewis
Percy Faith
Calvin Harris X Rag'N'Bone Man
Lio
The Bonzo Dog Band
Kodaline
Babyface & Stevie Wonder
SIMONE WHITE
Julie Covington
George Harrison/Leon Russell
Tony Christie
Timbaland
Outlandish
Calvin Harris X Rag'N'Bone Man
Mell & Vintage Future
Oh Wonder
Interactive
Blake Rose
Clean Bandit Ft. Sean Paul & Anne-Marie
The Astral Twins
CMAT
Bonny Light Horseman
Velvelettes
Bill Haley
The Secret Sisters ft. Ray Lamontagne
Ruth Brown
Naomi Ashley
Lucinda Williams
Ella Henderson & Rudimental
Memphis Royal Brothers
Snooks Eaglin
Riva
Bill Booth
Cape Sleep
Ronnie Hawkins
Glen Hansard
Michelle Williams & the True Tones
Jalen Ngonda
Johnny Maestro The Crests
Omar Coleman
Frank Turner
Jan Tekstra
Matt Maltese
Joshua Ray Walker
Plume
Mitski
The Little Richard Band
Calvin Harris X Rag'N'Bone Man
Charlie Feathers
Amy Speace
Metronomy
Ray Smith
Lil Greenwood
Eilen Jewell
Bronson Diamond & Greta Stanley
Skrillex With Sarah & Four Tet
Larry Marks
Energy 52
Cherry
Free Nationals
Toto Cutugno
Yeat
Adje
Calvin Harris ft. Frank Ocean & Migos
Strick
Roots/Erykah Badu
Cartoons
Boy George
Sophie B. Hawkins
Dimitri Vegas & Like Mike & Tiësto & Dido & W&W
Ghetts
JMANI
