Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Love Unlimited,I'm So Glad That I'm A Woman,2024-02-25T01:23:24,2024-02-25T01:27:19,False,5
Meduza & James Carter Ft. Elley Duhe & Fastboy,Bad Memories,2024-02-25T01:23:27,2024-02-25T01:26:27,False,Sky
Kool & The Gang,Who's Gonna Take The Weight,2024-02-25T01:24:04,2024-02-25T01:30:23,False,2
Fugees,Killing Me Softly,2024-02-25T01:25:19,2024-02-25T01:28:19,False,10
Blof,Harder Dan Ik Hebben Kan,2024-02-25T01:25:59,2024-02-25T01:30:12,False,Veronica
Keane,Sovereign Light Cafe,2024-02-25T01:25:56,2024-02-25T01:28:56,False,Sky
Peter Bjorn and John,Young Folks,2024-02-25T01:27:38,2024-02-25T01:32:17,False,3
Stephen Stills,Love The One You're With,2024-02-25T01:27:29,2024-02-25T01:30:33,False,5
Laura Pausini,La Solitudine,2024-02-25T01:29:19,2024-02-25T01:32:19,True,Sky
Justin Timberlake,Can't Stop The Feeling,2024-02-25T01:29:21,2024-02-25T01:32:21,False,10
Go West,We Close Our Eyes,2024-02-25T01:30:31,2024-02-25T01:34:18,False,Veronica
Tim Dawn,A Maze,2024-02-25T01:30:32,2024-02-25T01:34:14,False,5
Usher,Kissing Strangers,2024-02-25T01:30:26,2024-02-25T01:33:34,False,2
Teddy Swims,Lose Control,2024-02-25T01:33:15,2024-02-25T01:36:15,False,Sky
Sam Fender,Seventeen Going Under,2024-02-25T01:32:12,2024-02-25T01:36:06,False,3
Tina Turner,Private Dancer,2024-02-25T01:33:23,2024-02-25T01:36:23,True,10
Abba,Voulez Vous,2024-02-25T01:35:04,2024-02-25T01:40:10,False,Veronica
El Debarge,Who's Johnny,2024-02-25T01:33:33,2024-02-25T01:37:41,False,2
Charles Aznavour,Les Comediens,2024-02-25T01:34:08,2024-02-25T01:36:28,False,5
Astrid Nijgh,Ik Doe Wat Ik Doe,2024-02-25T01:36:28,2024-02-25T01:39:45,False,5
Pink,What About Us,2024-02-25T01:36:51,2024-02-25T01:39:51,True,Sky
Maria Mena,All This Time (Pick-Me-Up Song),2024-02-25T01:37:17,2024-02-25T01:40:17,False,10
The Ritchie Family,The Best Disco in Town,2024-02-25T01:37:24,2024-02-25T01:40:39,False,2
The Doors,Touch Me,2024-02-25T01:39:43,2024-02-25T01:42:53,False,5
Frankie Valli & The Four Seasons,"December 1963 (Oh, What A Night)",2024-02-25T01:40:19,2024-02-25T01:43:19,False,10
Chef'Special,Speed Of Light,2024-02-25T01:40:53,2024-02-25T01:44:00,False,Veronica
Anderson .Paak,Am I Wrong,2024-02-25T01:40:31,2024-02-25T01:44:44,False,2
Whitney Houston,I Wanna Dance With Somebody,2024-02-25T01:40:44,2024-02-25T01:43:44,True,Sky
The Black Eyed Peas,Let's Get It Started,2024-02-25T01:40:29,2024-02-25T01:44:13,False,3
Nick Kamen,I Promised Myself,2024-02-25T01:43:06,2024-02-25T01:47:00,False,5
Lukas Graham,7 Years,2024-02-25T01:43:41,2024-02-25T01:46:41,False,10
Inxs,By My Side,2024-02-25T01:45:25,2024-02-25T01:48:28,False,Veronica
Viola Wills,If You Could Read My Mind,2024-02-25T01:44:43,2024-02-25T01:49:02,True,2
Dean Lewis,Trust Me Mate,2024-02-25T01:45:26,2024-02-25T01:48:26,False,Sky
Mouth & MacNeal,Ik Zie Een Ster,2024-02-25T01:46:55,2024-02-25T01:49:53,False,5
Simply Red,Something Got Me Started,2024-02-25T01:47:30,2024-02-25T01:50:30,False,10
Commodores,Easy,2024-02-25T01:47:25,2024-02-25T01:52:05,False,3
Ronde,Bright Eyes,2024-02-25T01:48:24,2024-02-25T01:51:24,True,Sky
Bryan Adams,Run To You,2024-02-25T01:49:42,2024-02-25T01:53:35,False,Veronica
Giovanca,How Does It Feel,2024-02-25T01:48:57,2024-02-25T01:52:22,False,2
Everly Brothers,Lucille,2024-02-25T01:49:55,2024-02-25T01:52:26,False,5
Jonas Brothers,Only Human,2024-02-25T01:51:19,2024-02-25T01:54:19,False,Sky
Johnny Hates Jazz,Turn Back The Clock,2024-02-25T01:51:25,2024-02-25T01:54:25,False,10
Pointer Sisters,Jump,2024-02-25T01:52:19,2024-02-25T01:56:19,True,5
Coldplay,Fix You,2024-02-25T01:54:15,2024-02-25T01:59:08,False,Veronica
